🏻 => 🏻, faʻahinga 1–2, hinehina, kili
🏼 => 🏼, faʻahinga 3, kelokelo, kili
🏽 => 🏽, faʻahinga 4, kili, melomelo
🏾 => 🏾, faʻahinga 5, ʻuliʻuli, kili, kili melomelo-ʻuliʻuli, melomelo
🏿 => 🏿, faʻahinga 6, ʻuliʻuli, kili
😀 => 😀, mata fiefia
🔁 => 🔁, meʻalolomi toutou
🔂 => 🔂, meʻalolomi toe tuʻotaha
▶ => ▶, meʻalolomi tā
⏩ => ⏩, meʻalolomi fakalaka vave
⏭ => ⏭, meʻalolomi fasi hoko
⏯ => ⏯, meʻalolomi tā pe tatali
◀ => ◀, meʻalolomi foki
⏪ => ⏪, meʻalolomi foki vave
⏮ => ⏮, meʻalolomi fasi kimuʻa
🔼 => 🔼, meʻalolomi hake
⏫ => ⏫, meʻalolomi hake vave
🔽 => 🔽, meʻalolomi hifo
⏬ => ⏬, meʻalolomi hifo vave
⏸ => ⏸, meʻalolomi tatali
⏹ => ⏹, meʻalolomi taʻofi
⏺ => ⏺, meʻalolomi hiki
⏏ => ⏏, meʻalolomi toʻo
🎦 => 🎦, fale heleʻuhila
🔅 => 🔅, meʻalolomi fakapōpōʻuli
🔆 => 🔆, meʻalolomi fakamaama
📶 => 📶, pā lave
📳 => 📳, foni tetetete
📴 => 📴, foni toʻotoʻo tāmateʻi
♀ => ♀, ʻilonga fakafefine
♂ => ♂, ʻilonga fakatangata
⚧ => ⚧, ʻilonga fakaleiti moe tomupoi
✖ => ✖, fakaʻilonga liunga mamafa
➕ => ➕, fakaʻilonga tānaki mamafa
➖ => ➖, fakaʻilonga kole mamafa
➗ => ➗, fakaʻilonga vahevahe mamafa
♾ => ♾, taʻengata
‼ => ‼, fakaʻiloʻilonga kalanga
⁉ => ⁉, fakaʻiloʻilonga kalanga-fehuʻi
❓ => ❓, fakaʻilonga fehuʻi
❔ => ❔, fakaʻilonga fehuʻi hinehina
❕ => ❕, fakaʻilonga kalanga hinehina
❗ => ❗, fakaʻilonga kalanga
💱 => 💱, paʻanga fakafetongi
💲 => 💲, fakaʻilonga paʻanga mamafa
⚕ => ⚕, ʻilonga tōketā
♻ => ♻, ʻilonga ngāueʻaki foʻou
⚜ => ⚜, ʻilonga lile
🔱 => 🔱, tao matatolu
📛 => 📛, kaati hingoa
🔰 => 🔰, tokotaha langalangafoʻou fakasiapani
⭕ => ⭕, fuopotopoto mamafa
✅ => ✅, fakaʻilonga sivi hinehina
☑ => ☑, pepa fili moe fakaʻilonga sivi
✔ => ✔, fakaʻilonga sivi mamafa
❌ => ❌, fakaʻilonga kolosi
❎ => ❎, meʻalolomi fakaʻilonga kolosi
➰ => ➰, laine fakasākisi
➿ => ➿, laine fakasākisi lōua
✳ => ✳, fakaʻilonga fakafetuʻu huelovalu
✴ => ✴, fakaʻilonga fakafetuʻu tapavalu
❇ => ❇, ʻilonga fetapatapaki
🔠 => 🔠, hū mataʻitohi lahi pē
🔡 => 🔡, hū mataʻitohi siʻi pē
🔢 => 🔢, hū mataʻifika pē
🔣 => 🔣, hū fakaʻilonga pē
🔤 => 🔤, hū mataʻitohi fakalatina
🅰 => 🅰, meʻalolomi faʻahinga toto A
🆎 => 🆎, meʻalolomi faʻahinga toto AB
🅱 => 🅱, meʻalolomi faʻahinga toto B
🆑 => 🆑, meʻalolomi CL
🆒 => 🆒, meʻalolomi COOL
🆓 => 🆓, meʻalolomi FREE
ℹ => ℹ, fakaʻilonga fakamatala
🆔 => 🆔, meʻalolomi ID
Ⓜ => Ⓜ, fakaʻilonga M fuopotopoto
🆕 => 🆕, meʻalolomi NEW
🆖 => 🆖, meʻalolomi NG
🅾 => 🅾, meʻalolomi faʻahinga toto O
🆗 => 🆗, meʻalolomi OK
🅿 => 🅿, meʻalolomi P
🆘 => 🆘, meʻalolomi SOS
🆙 => 🆙, meʻalolomi UP!
🆚 => 🆚, meʻalolomi VS
🈁 => 🈁, meʻalolomi ʻi heni (fakasiapani)
🈂 => 🈂, fakasiapani, meʻalolomi, meʻalolomi totongi faifatongia (fakasiapani), totongi faifatongia
🈷 => 🈷, fakasiapani, meʻalolomi, meʻalolomi moʻua fakamāhina (fakasiapani), moʻua fakamāhina
🈶 => 🈶, meʻalolomi totongi (fakasiapani)
🈯 => 🈯, meʻalolomi taʻofi (fakasiapani)
🉐 => 🉐, meʻalolomi maʻamaʻa (fakasiapani)
🈹 => 🈹, meʻalolomi fakamaʻamaʻa (fakasiapani)
🈚 => 🈚, meʻalolomi taʻetotongi (fakasiapani)
🈲 => 🈲, meʻalolomi tapu (fakasiapani)
🉑 => 🉑, meʻalolomi ala tali (fakasiapani)
🈸 => 🈸, meʻalolomi ʻai heni (fakasiapani)
🈴 => 🈴, meʻalolomi fika lava (fakasiapani)
🈳 => 🈳, meʻalolomi loki ʻatā (fakasiapani)
㊗ => ㊗, meʻalolomi fakamālō (fakasiapani)
㊙ => ㊙, meʻalolomi lilolilo (fakasiapani)
🈺 => 🈺, meʻalolomi ava he ngāue (fakasiapani)
🈵 => 🈵, meʻalolomi hala loki ʻatā (fakasiapani)
🔴 => 🔴, fuopotopoto kulokula
🟠 => 🟠, fuopotopoto lanumoli
🟡 => 🟡, fuopotopoto engeenga
🟢 => 🟢, fuopotopoto lanumata
🔵 => 🔵, fuopotopoto lanupulū
🟣 => 🟣, fuopotopoto lanumoli, fuopotopoto lanuvaioleti
🟤 => 🟤, fuopotopoto melomelo
⚫ => ⚫, fuopotopoto ʻuluʻuli
⚪ => ⚪, fuopotopoto hinehina
🟥 => 🟥, tapafā kulokula
🟧 => 🟧, tapafā lanumoli
🟨 => 🟨, tapafā engeenga
🟩 => 🟩, tapafā lanumata
🟦 => 🟦, tapafā lanupulū
🟪 => 🟪, tapafā lanuvaioleti
🟫 => 🟫, tapafā melomelo
⬛ => ⬛, tapafā lahi mo ʻuliʻuli
⬜ => ⬜, tapafā lahi mo hinehina
◼ => ◼, tapafā tauloto mo ʻuliʻuli
◻ => ◻, tapafā tauloto mo hinehina
◾ => ◾, tapafā siʻi mo ʻuliʻuli
◽ => ◽, tapafā siʻi mo hinehina
▪ => ▪, tapafā siʻisiʻi mo ʻuliʻuli
▫ => ▫, tapafā siʻisiʻi mo hinehina
🔶 => 🔶, taiamoni lahi mo lanumoli
🔷 => 🔷, taiamoni lahi mo lanupulū
🔸 => 🔸, taiamoni siʻi mo lanumoli
🔹 => 🔹, taiamoni siʻi mo lanupulū
🔺 => 🔺, tapatolu ki ʻolunga kulokula
🔻 => 🔻, tapatolu kulokula ki lalo
💠 => 💠, taiamoni moe ʻila
🔘 => 🔘, meʻalolomi lētio
🔳 => 🔳, meʻalolomi tapafā hinehina
🔲 => 🔲, meʻalolomi tapafā ʻuliʻuli
🏁 => 🏁, fuka, lova
🚩 => 🚩, fuka, tapatolu
🎌 => 🎌, fehauaki, fuka, siapani
🏴 => 🏴, fuka, ʻuliʻuli
🏳 => 🏳, fuka, hinehina
🏳‍🌈 => 🏳‍🌈, fuka, ʻūmata
🏳‍⚧ => 🏳‍⚧, fuka, pulū-pingikē-hinehina
🏴‍☠ => 🏴‍☠, fuka, kaihaʻatahi
👋🏻 => 👋🏻, kili hinehina, nima taʻataʻalo
👋🏼 => 👋🏼, kili kelokelo, nima taʻataʻalo
👋🏽 => 👋🏽, kili melomelo, nima taʻataʻalo
👋🏾 => 👋🏾, kili melomelo-ʻuliʻuli, nima taʻataʻalo
👋🏿 => 👋🏿, kili ʻuliʻuli, nima taʻataʻalo
🤚🏻 => 🤚🏻, kili hinehina, tuʻanima hiki ki ʻolunga
🤚🏼 => 🤚🏼, kili kelokelo, tuʻanima hiki ki ʻolunga
🤚🏽 => 🤚🏽, kili melomelo, tuʻanima hiki ki ʻolunga
🤚🏾 => 🤚🏾, kili melomelo-ʻuliʻuli, tuʻanima hiki ki ʻolunga
🤚🏿 => 🤚🏿, kili ʻuliʻuli, tuʻanima hiki ki ʻolunga
🖐🏻 => 🖐🏻, kili hinehina, nima fālalahi
🖐🏼 => 🖐🏼, kili kelokelo, nima fālalahi
🖐🏽 => 🖐🏽, kili melomelo, nima fālalahi
🖐🏾 => 🖐🏾, kili melomelo-ʻuliʻuli, nima fālalahi
🖐🏿 => 🖐🏿, kili ʻuliʻuli, nima fālalahi
✋🏻 => ✋🏻, kili hinehina, nima hiki ki ʻolunga
✋🏼 => ✋🏼, kili kelokelo, nima hiki ki ʻolunga
✋🏽 => ✋🏽, kili melomelo, nima hiki ki ʻolunga
✋🏾 => ✋🏾, kili melomelo-ʻuliʻuli, nima hiki ki ʻolunga
✋🏿 => ✋🏿, kili ʻuliʻuli, nima hiki ki ʻolunga
🖖🏻 => 🖖🏻, kili hinehina, nima mavaeua
🖖🏼 => 🖖🏼, kili kelokelo, nima mavaeua
🖖🏽 => 🖖🏽, kili melomelo, nima mavaeua
🖖🏾 => 🖖🏾, kili melomelo-ʻuliʻuli, nima mavaeua
🖖🏿 => 🖖🏿, kili ʻuliʻuli, nima mavaeua
👌🏻 => 👌🏻, kili hinehina, nima fakaʻilonga sai
👌🏼 => 👌🏼, kili kelokelo, nima fakaʻilonga sai
👌🏽 => 👌🏽, kili melomelo, nima fakaʻilonga sai
👌🏾 => 👌🏾, kili melomelo-ʻuliʻuli, nima fakaʻilonga sai
👌🏿 => 👌🏿, kili ʻuliʻuli, nima fakaʻilonga sai
🤌🏻 => 🤌🏻, kili hinehina, louhiʻinima fakamaʻopoʻopo
🤌🏼 => 🤌🏼, kili kelokelo, louhiʻinima fakamaʻopoʻopo
🤌🏽 => 🤌🏽, kili melomelo, louhiʻinima fakamaʻopoʻopo
🤌🏾 => 🤌🏾, kili melomelo-ʻuliʻuli, louhiʻinima fakamaʻopoʻopo
🤌🏿 => 🤌🏿, kili ʻuliʻuli, louhiʻinima fakamaʻopoʻopo
🤏🏻 => 🤏🏻, kili hinehina, nima fakamaʻopoʻopo
🤏🏼 => 🤏🏼, kili kelokelo, nima fakamaʻopoʻopo
🤏🏽 => 🤏🏽, kili melomelo, nima fakamaʻopoʻopo
🤏🏾 => 🤏🏾, kili melomelo-ʻuliʻuli, nima fakamaʻopoʻopo
🤏🏿 => 🤏🏿, kili ʻuliʻuli, nima fakamaʻopoʻopo
✌🏻 => ✌🏻, kili hinehina, nima ikuna
✌🏼 => ✌🏼, kili kelokelo, nima ikuna
✌🏽 => ✌🏽, kili melomelo, nima ikuna
✌🏾 => ✌🏾, kili melomelo-ʻuliʻuli, nima ikuna
✌🏿 => ✌🏿, kili ʻuliʻuli, nima ikuna
🤞🏻 => 🤞🏻, kili hinehina, louhiʻinima fehauaki
🤞🏼 => 🤞🏼, kili kelokelo, louhiʻinima fehauaki
🤞🏽 => 🤞🏽, kili melomelo, louhiʻinima fehauaki
🤞🏾 => 🤞🏾, kili melomelo-ʻuliʻuli, louhiʻinima fehauaki
🤞🏿 => 🤞🏿, kili ʻuliʻuli, louhiʻinima fehauaki
🤟🏻 => 🤟🏻, kili hinehina, nima fakaʻilonga mafu
🤟🏼 => 🤟🏼, kili kelokelo, nima fakaʻilonga mafu
🤟🏽 => 🤟🏽, kili melomelo, nima fakaʻilonga mafu
🤟🏾 => 🤟🏾, kili melomelo-ʻuliʻuli, nima fakaʻilonga mafu
🤟🏿 => 🤟🏿, kili ʻuliʻuli, nima fakaʻilonga mafu
🤘🏻 => 🤘🏻, kili hinehina, nima fakaʻilonga fakatēvolo
🤘🏼 => 🤘🏼, kili kelokelo, nima fakaʻilonga fakatēvolo
🤘🏽 => 🤘🏽, kili melomelo, nima fakaʻilonga fakatēvolo
🤘🏾 => 🤘🏾, kili melomelo-ʻuliʻuli, nima fakaʻilonga fakatēvolo
🤘🏿 => 🤘🏿, kili ʻuliʻuli, nima fakaʻilonga fakatēvolo
🤙🏻 => 🤙🏻, kili hinehina, nima fakaʻilonga tā mai
🤙🏼 => 🤙🏼, kili kelokelo, nima fakaʻilonga tā mai
🤙🏽 => 🤙🏽, kili melomelo, nima fakaʻilonga tā mai
🤙🏾 => 🤙🏾, kili melomelo-ʻuliʻuli, nima fakaʻilonga tā mai
🤙🏿 => 🤙🏿, kili ʻuliʻuli, nima fakaʻilonga tā mai
👈🏻 => 👈🏻, kili hinehina, tuhu tuʻanima tonu ki hema
👈🏼 => 👈🏼, kili kelokelo, tuhu tuʻanima tonu ki hema
👈🏽 => 👈🏽, kili melomelo, tuhu tuʻanima tonu ki hema
👈🏾 => 👈🏾, kili melomelo-ʻuliʻuli, tuhu tuʻanima tonu ki hema
👈🏿 => 👈🏿, kili ʻuliʻuli, tuhu tuʻanima tonu ki hema
👉🏻 => 👉🏻, kili hinehina, tuhu tuʻanima tonu ki mataʻu
👉🏼 => 👉🏼, kili kelokelo, tuhu tuʻanima tonu ki mataʻu
👉🏽 => 👉🏽, kili melomelo, tuhu tuʻanima tonu ki mataʻu
👉🏾 => 👉🏾, kili melomelo-ʻuliʻuli, tuhu tuʻanima tonu ki mataʻu
👉🏿 => 👉🏿, kili ʻuliʻuli, tuhu tuʻanima tonu ki mataʻu
👆🏻 => 👆🏻, kili hinehina, tuhu tuʻanima tonu ki ʻolunga
👆🏼 => 👆🏼, kili kelokelo, tuhu tuʻanima tonu ki ʻolunga
👆🏽 => 👆🏽, kili melomelo, tuhu tuʻanima tonu ki ʻolunga
👆🏾 => 👆🏾, kili melomelo-ʻuliʻuli, tuhu tuʻanima tonu ki ʻolunga
👆🏿 => 👆🏿, kili ʻuliʻuli, tuhu tuʻanima tonu ki ʻolunga
🖕🏻 => 🖕🏻, kili hinehina, tuhu ʻi loto
🖕🏼 => 🖕🏼, kili kelokelo, tuhu ʻi loto
🖕🏽 => 🖕🏽, kili melomelo, tuhu ʻi loto
🖕🏾 => 🖕🏾, kili melomelo-ʻuliʻuli, tuhu ʻi loto
🖕🏿 => 🖕🏿, kili ʻuliʻuli, tuhu ʻi loto
👇🏻 => 👇🏻, kili hinehina, tuhu tuʻanima tonu ki lalo
👇🏼 => 👇🏼, kili kelokelo, tuhu tuʻanima tonu ki lalo
👇🏽 => 👇🏽, kili melomelo, tuhu tuʻanima tonu ki lalo
👇🏾 => 👇🏾, kili melomelo-ʻuliʻuli, tuhu tuʻanima tonu ki lalo
👇🏿 => 👇🏿, kili ʻuliʻuli, tuhu tuʻanima tonu ki lalo
☝🏻 => ☝🏻, kili hinehina, tuhu tonu ki ʻolunga
☝🏼 => ☝🏼, kili kelokelo, tuhu tonu ki ʻolunga
☝🏽 => ☝🏽, kili melomelo, tuhu tonu ki ʻolunga
☝🏾 => ☝🏾, kili melomelo-ʻuliʻuli, tuhu tonu ki ʻolunga
☝🏿 => ☝🏿, kili ʻuliʻuli, tuhu tonu ki ʻolunga
👍🏻 => 👍🏻, kili hinehina, motuʻatuhu ki ʻolunga
👍🏼 => 👍🏼, kili kelokelo, motuʻatuhu ki ʻolunga
👍🏽 => 👍🏽, kili melomelo, motuʻatuhu ki ʻolunga
👍🏾 => 👍🏾, kili melomelo-ʻuliʻuli, motuʻatuhu ki ʻolunga
👍🏿 => 👍🏿, kili ʻuliʻuli, motuʻatuhu ki ʻolunga
👎🏻 => 👎🏻, kili hinehina, motuʻatuhu ki lalo
👎🏼 => 👎🏼, kili kelokelo, motuʻatuhu ki lalo
👎🏽 => 👎🏽, kili melomelo, motuʻatuhu ki lalo
👎🏾 => 👎🏾, kili melomelo-ʻuliʻuli, motuʻatuhu ki lalo
👎🏿 => 👎🏿, kili ʻuliʻuli, motuʻatuhu ki lalo
✊🏻 => ✊🏻, kili hinehina, tuke hiki ki ʻolunga
✊🏼 => ✊🏼, kili kelokelo, tuke hiki ki ʻolunga
✊🏽 => ✊🏽, kili melomelo, tuke hiki ki ʻolunga
✊🏾 => ✊🏾, kili melomelo-ʻuliʻuli, tuke hiki ki ʻolunga
✊🏿 => ✊🏿, kili ʻuliʻuli, tuke hiki ki ʻolunga
👊🏻 => 👊🏻, kili hinehina, tuke ki muʻa
👊🏼 => 👊🏼, kili kelokelo, tuke ki muʻa
👊🏽 => 👊🏽, kili melomelo, tuke ki muʻa
👊🏾 => 👊🏾, kili melomelo-ʻuliʻuli, tuke ki muʻa
👊🏿 => 👊🏿, kili ʻuliʻuli, tuke ki muʻa
🤛🏻 => 🤛🏻, kili hinehina, tuke ki hema
🤛🏼 => 🤛🏼, kili kelokelo, tuke ki hema
🤛🏽 => 🤛🏽, kili melomelo, tuke ki hema
🤛🏾 => 🤛🏾, kili melomelo-ʻuliʻuli, tuke ki hema
🤛🏿 => 🤛🏿, kili ʻuliʻuli, tuke ki hema
🤜🏻 => 🤜🏻, kili hinehina, tuke ki mataʻu
🤜🏼 => 🤜🏼, kili kelokelo, tuke ki mataʻu
🤜🏽 => 🤜🏽, kili melomelo, tuke ki mataʻu
🤜🏾 => 🤜🏾, kili melomelo-ʻuliʻuli, tuke ki mataʻu
🤜🏿 => 🤜🏿, kili ʻuliʻuli, tuke ki mataʻu
👏🏻 => 👏🏻, kili hinehina, nima pasipasi
👏🏼 => 👏🏼, kili kelokelo, nima pasipasi
👏🏽 => 👏🏽, kili melomelo, nima pasipasi
👏🏾 => 👏🏾, kili melomelo-ʻuliʻuli, nima pasipasi
👏🏿 => 👏🏿, kili ʻuliʻuli, nima pasipasi
🙌🏻 => 🙌🏻, kili hinehina, ongo nima hiki ki ʻolunga
🙌🏼 => 🙌🏼, kili kelokelo, ongo nima hiki ki ʻolunga
🙌🏽 => 🙌🏽, kili melomelo, ongo nima hiki ki ʻolunga
🙌🏾 => 🙌🏾, kili melomelo-ʻuliʻuli, ongo nima hiki ki ʻolunga
🙌🏿 => 🙌🏿, kili ʻuliʻuli, ongo nima hiki ki ʻolunga
👐🏻 => 👐🏻, kili hinehina, nima homo
👐🏼 => 👐🏼, kili kelokelo, nima homo
👐🏽 => 👐🏽, kili melomelo, nima homo
👐🏾 => 👐🏾, kili melomelo-ʻuliʻuli, nima homo
👐🏿 => 👐🏿, kili ʻuliʻuli, nima homo
🤲🏻 => 🤲🏻, kili hinehina, ongo aofinima hiki ki ʻolunga
🤲🏼 => 🤲🏼, kili kelokelo, ongo aofinima hiki ki ʻolunga
🤲🏽 => 🤲🏽, kili melomelo, ongo aofinima hiki ki ʻolunga
🤲🏾 => 🤲🏾, kili melomelo-ʻuliʻuli, ongo aofinima hiki ki ʻolunga
🤲🏿 => 🤲🏿, kili ʻuliʻuli, ongo aofinima hiki ki ʻolunga
🙏🏻 => 🙏🏻, kili hinehina, ongo nima tataʻo
🙏🏼 => 🙏🏼, kili kelokelo, ongo nima tataʻo
🙏🏽 => 🙏🏽, kili melomelo, ongo nima tataʻo
🙏🏾 => 🙏🏾, kili melomelo-ʻuliʻuli, ongo nima tataʻo
🙏🏿 => 🙏🏿, kili ʻuliʻuli, ongo nima tataʻo
✍🏻 => ✍🏻, kili hinehina, nima ʻoku tohi
✍🏼 => ✍🏼, kili kelokelo, nima ʻoku tohi
✍🏽 => ✍🏽, kili melomelo, nima ʻoku tohi
✍🏾 => ✍🏾, kili melomelo-ʻuliʻuli, nima ʻoku tohi
✍🏿 => ✍🏿, kili ʻuliʻuli, nima ʻoku tohi
💅🏻 => 💅🏻, kili hinehina, valivali ngeʻesinima
💅🏼 => 💅🏼, kili kelokelo, valivali ngeʻesinima
💅🏽 => 💅🏽, kili melomelo, valivali ngeʻesinima
💅🏾 => 💅🏾, kili melomelo-ʻuliʻuli, valivali ngeʻesinima
💅🏿 => 💅🏿, kili ʻuliʻuli, valivali ngeʻesinima
🤳🏻 => 🤳🏻, faitaaʻi pē kita, kili hinehina
🤳🏼 => 🤳🏼, faitaaʻi pē kita, kili kelokelo
🤳🏽 => 🤳🏽, faitaaʻi pē kita, kili melomelo
🤳🏾 => 🤳🏾, faitaaʻi pē kita, kili melomelo-ʻuliʻuli
🤳🏿 => 🤳🏿, faitaaʻi pē kita, kili ʻuliʻuli
💪🏻 => 💪🏻, kili hinehina, pāpela ʻoku pelu
💪🏼 => 💪🏼, kili kelokelo, pāpela ʻoku pelu
💪🏽 => 💪🏽, kili melomelo, pāpela ʻoku pelu
💪🏾 => 💪🏾, kili melomelo-ʻuliʻuli, pāpela ʻoku pelu
💪🏿 => 💪🏿, kili ʻuliʻuli, pāpela ʻoku pelu
🦵🏻 => 🦵🏻, kili hinehina, vaʻe
🦵🏼 => 🦵🏼, kili kelokelo, vaʻe
🦵🏽 => 🦵🏽, kili melomelo, vaʻe
🦵🏾 => 🦵🏾, kili melomelo-ʻuliʻuli, vaʻe
🦵🏿 => 🦵🏿, kili ʻuliʻuli, vaʻe
🦶🏻 => 🦶🏻, kili hinehina, lauʻivaʻe
🦶🏼 => 🦶🏼, kili kelokelo, lauʻivaʻe
🦶🏽 => 🦶🏽, kili melomelo, lauʻivaʻe
🦶🏾 => 🦶🏾, kili melomelo-ʻuliʻuli, lauʻivaʻe
🦶🏿 => 🦶🏿, kili ʻuliʻuli, lauʻivaʻe
👂🏻 => 👂🏻, kili hinehina, telinga
👂🏼 => 👂🏼, kili kelokelo, telinga
👂🏽 => 👂🏽, kili melomelo, telinga
👂🏾 => 👂🏾, kili melomelo-ʻuliʻuli, telinga
👂🏿 => 👂🏿, kili ʻuliʻuli, telinga
🦻🏻 => 🦻🏻, kili hinehina, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
🦻🏼 => 🦻🏼, kili kelokelo, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
🦻🏽 => 🦻🏽, kili melomelo, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
🦻🏾 => 🦻🏾, kili melomelo-ʻuliʻuli, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
🦻🏿 => 🦻🏿, kili ʻuliʻuli, meʻa fakafanongo, telinga, telinga moe meʻa fakafanongo
👃🏻 => 👃🏻, ihu, kili hinehina
👃🏼 => 👃🏼, ihu, kili kelokelo
👃🏽 => 👃🏽, ihu, kili melomelo
👃🏾 => 👃🏾, ihu, kili melomelo-ʻuliʻuli
👃🏿 => 👃🏿, ihu, kili ʻuliʻuli
👶🏻 => 👶🏻, kili hinehina, valevale
👶🏼 => 👶🏼, kili kelokelo, valevale
👶🏽 => 👶🏽, kili melomelo, valevale
👶🏾 => 👶🏾, kili melomelo-ʻuliʻuli, valevale
👶🏿 => 👶🏿, kili ʻuliʻuli, valevale
🧒🏻 => 🧒🏻, fānau, kili hinehina
🧒🏼 => 🧒🏼, fānau, kili kelokelo
🧒🏽 => 🧒🏽, fānau, kili melomelo
🧒🏾 => 🧒🏾, fānau, kili melomelo-ʻuliʻuli
🧒🏿 => 🧒🏿, fānau, kili ʻuliʻuli
👦🏻 => 👦🏻, kili hinehina, tamasiʻi
👦🏼 => 👦🏼, kili kelokelo, tamasiʻi
👦🏽 => 👦🏽, kili melomelo, tamasiʻi
👦🏾 => 👦🏾, kili melomelo-ʻuliʻuli, tamasiʻi
👦🏿 => 👦🏿, kili ʻuliʻuli, tamasiʻi
👧🏻 => 👧🏻, kili hinehina, taʻahine
👧🏼 => 👧🏼, kili kelokelo, taʻahine
👧🏽 => 👧🏽, kili melomelo, taʻahine
👧🏾 => 👧🏾, kili melomelo-ʻuliʻuli, taʻahine
👧🏿 => 👧🏿, kili ʻuliʻuli, taʻahine
🧑🏻 => 🧑🏻, kakai lalahi, kili hinehina
🧑🏼 => 🧑🏼, kakai lalahi, kili kelokelo
🧑🏽 => 🧑🏽, kakai lalahi, kili melomelo
🧑🏾 => 🧑🏾, kakai lalahi, kili melomelo-ʻuliʻuli
🧑🏿 => 🧑🏿, kakai lalahi, kili ʻuliʻuli
👱🏻 => 👱🏻, kili hinehina, tokotaha ʻulu kelo
👱🏼 => 👱🏼, kili kelokelo, tokotaha ʻulu kelo
👱🏽 => 👱🏽, kili melomelo, tokotaha ʻulu kelo
👱🏾 => 👱🏾, kili melomelo-ʻuliʻuli, tokotaha ʻulu kelo
👱🏿 => 👱🏿, kili ʻuliʻuli, tokotaha ʻulu kelo
🧑‍🦰 => 🧑‍🦰, ʻulu kulokula, kakai lalahi
🧑🏻‍🦰 => 🧑🏻‍🦰, ʻulu kulokula, kakai lalahi, kili hinehina
🧑🏼‍🦰 => 🧑🏼‍🦰, ʻulu kulokula, kakai lalahi, kili kelokelo
🧑🏽‍🦰 => 🧑🏽‍🦰, ʻulu kulokula, kakai lalahi, kili melomelo
🧑🏾‍🦰 => 🧑🏾‍🦰, ʻulu kulokula, kakai lalahi, kili melomelo-ʻuliʻuli
🧑🏿‍🦰 => 🧑🏿‍🦰, ʻulu kulokula, kakai lalahi, kili ʻuliʻuli
🧑‍🦱 => 🧑‍🦱, ʻulu mingimingi, kakai lalahi
🧑🏻‍🦱 => 🧑🏻‍🦱, ʻulu mingimingi, kakai lalahi, kili hinehina
🧑🏼‍🦱 => 🧑🏼‍🦱, ʻulu mingimingi, kakai lalahi, kili kelokelo
🧑🏽‍🦱 => 🧑🏽‍🦱, ʻulu mingimingi, kakai lalahi, kili melomelo
🧑🏾‍🦱 => 🧑🏾‍🦱, ʻulu mingimingi, kakai lalahi, kili melomelo-ʻuliʻuli
🧑🏿‍🦱 => 🧑🏿‍🦱, ʻulu mingimingi, kakai lalahi, kili ʻuliʻuli
🧑‍🦳 => 🧑‍🦳, ʻulu hinā, kakai lalahi
🧑🏻‍🦳 => 🧑🏻‍🦳, ʻulu hinā, kakai lalahi, kili hinehina
🧑🏼‍🦳 => 🧑🏼‍🦳, ʻulu hinā, kakai lalahi, kili kelokelo
🧑🏽‍🦳 => 🧑🏽‍🦳, ʻulu hinā, kakai lalahi, kili melomelo
🧑🏾‍🦳 => 🧑🏾‍🦳, ʻulu hinā, kakai lalahi, kili melomelo-ʻuliʻuli
🧑🏿‍🦳 => 🧑🏿‍🦳, ʻulu hinā, kakai lalahi, kili ʻuliʻuli
🧑‍🦲 => 🧑‍🦲, ʻulu tula, kakai lalahi
🧑🏻‍🦲 => 🧑🏻‍🦲, ʻulu tula, kakai lalahi, kili hinehina
🧑🏼‍🦲 => 🧑🏼‍🦲, ʻulu tula, kakai lalahi, kili kelokelo
🧑🏽‍🦲 => 🧑🏽‍🦲, ʻulu tula, kakai lalahi, kili melomelo
🧑🏾‍🦲 => 🧑🏾‍🦲, ʻulu tula, kakai lalahi, kili melomelo-ʻuliʻuli
🧑🏿‍🦲 => 🧑🏿‍🦲, ʻulu tula, kakai lalahi, kili ʻuliʻuli
👨🏻 => 👨🏻, kili hinehina, tangata
👨🏼 => 👨🏼, kili kelokelo, tangata
👨🏽 => 👨🏽, kili melomelo, tangata
👨🏾 => 👨🏾, kili melomelo-ʻuliʻuli, tangata
👨🏿 => 👨🏿, kili ʻuliʻuli, tangata
🧔🏻 => 🧔🏻, kili hinehina, tangata kava
🧔🏼 => 🧔🏼, kili kelokelo, tangata kava
🧔🏽 => 🧔🏽, kili melomelo, tangata kava
🧔🏾 => 🧔🏾, kili melomelo-ʻuliʻuli, tangata kava
🧔🏿 => 🧔🏿, kili ʻuliʻuli, tangata kava
👱🏻‍♂ => 👱🏻‍♂, kili hinehina, tangata ʻulu kelo
👱🏼‍♂ => 👱🏼‍♂, kili kelokelo, tangata ʻulu kelo
👱🏽‍♂ => 👱🏽‍♂, kili melomelo, tangata ʻulu kelo
👱🏾‍♂ => 👱🏾‍♂, kili melomelo-ʻuliʻuli, tangata ʻulu kelo
👱🏿‍♂ => 👱🏿‍♂, kili ʻuliʻuli, tangata ʻulu kelo
👨‍🦰 => 👨‍🦰, ʻulu kulokula, tangata
👨🏻‍🦰 => 👨🏻‍🦰, ʻulu kulokula, kili hinehina, tangata
👨🏼‍🦰 => 👨🏼‍🦰, ʻulu kulokula, kili kelokelo, tangata
👨🏽‍🦰 => 👨🏽‍🦰, ʻulu kulokula, kili melomelo, tangata
